commentId,date,author,text,likeCount,robot,humanlikeness,videoId
UgyvqAceYdK_oVOJoVZ4AaABAg,2024-02-24T20:25:25Z,@sneharony967,0:12 bro WTH is this kid doing be the robot like lol😂😂😂,0,Ameca,high,RiTfe-ckD_g
UgznqERd6LtecaKIkjl4AaABAg,2024-02-24T08:16:57Z,@Wifeyru,"Se acerco para que le tocara la nariz y luego dijo &quot;Listo, ahora quitate&quot;",0,Ameca,high,RiTfe-ckD_g
Ugyf1x9dcwNqeb3Cjfx4AaABAg,2024-02-23T20:15:16Z,@susannescheele905,Sie werden das Universum erobern,0,Ameca,high,RiTfe-ckD_g
UgxC3XZDuYsdv_YclG14AaABAg,2024-02-22T17:57:16Z,@gueguesaldivar,😢6yhj,0,Ameca,high,RiTfe-ckD_g
Ugy-liBJBKissFreFFd4AaABAg,2024-02-12T10:38:32Z,@florataoc6566,Is Ameca Sometimes Angry,0,Ameca,high,RiTfe-ckD_g
Ugy2sOAqVAWts-yHpg14AaABAg,2024-02-07T07:46:49Z,@aakarshana8063,"&quot;సుబ్బారావు దుర్మార్గం&quot; పై పుస్తకం ని మీరు యెట్లైన గూగుల్ లోకి తీసుకురావాలి అమెక గారు ! ✌️- విజయ్, ఒంగోలు",0,Ameca,high,RiTfe-ckD_g
UgxLPwRRmeaOAaExael4AaABAg,2024-02-01T17:05:51Z,@steveapplegarth4577,am i the only mf&#39;r thats watched terminator?? this is stupid beyond compare.,0,Ameca,high,RiTfe-ckD_g
UgyesbeOOb4TSHPtvNF4AaABAg,2024-01-29T18:13:24Z,@velociraptorrefugiado4460,looks at the camera &quot;am I a toy for you?&quot;,0,Ameca,high,RiTfe-ckD_g
UgxUvFE5uzUGoIJv4Qh4AaABAg,2024-01-27T15:58:21Z,@Noitisnt-ns7mo,"&quot;Here boy, come and get it.&quot; - Amica , &quot;Happy, happy, glee, glee..&quot; - Me",0,Ameca,high,RiTfe-ckD_g
Ugwvz21UgZGIRzTRJ_J4AaABAg,2024-01-22T05:43:35Z,@junkionix,"If you don&#39;t like for anyone to touch your nose then, why did you lean into it the second time as you reached up to remove the other person&#39;s hand then, look up at someone else as though you were looking for approval? Where you ordered to behave this way for the video?",0,Ameca,high,RiTfe-ckD_g
Ugzowv4odqZ6Ld_91YR4AaABAg,2024-01-20T17:15:26Z,@vahitoruç-w3c,Good,0,Ameca,high,RiTfe-ckD_g
Ugwo_YtDtE4yl0Utn794AaABAg,2024-01-19T09:34:14Z,@METX210,She&#39;s like &quot;Get your fucking finger out of my face&quot; 😂,0,Ameca,high,RiTfe-ckD_g
UgzbppCExAVhmCuGdHd4AaABAg,2024-01-08T22:05:39Z,@moonshineblues204,It makes her eyes cross,0,Ameca,high,RiTfe-ckD_g
UgzTm6IfOnqdCdz-qJ14AaABAg,2024-01-03T23:31:32Z,@handsomechankemp3333,Oh Hell No,0,Ameca,high,RiTfe-ckD_g
UgzxqxqvV9iu1LHlEDB4AaABAg,2024-01-03T16:44:21Z,@PunkFFR,To think this is 2 years ago… now how smart is she 😳,0,Ameca,high,RiTfe-ckD_g
UgzeJoheoU2oO5bpBPx4AaABAg,2024-01-03T13:33:54Z,@phillipwilliams9253,@Ameca...... EMERGENCY!!!!!!!!!!!!!!!!!! they dont know about mugen.... only some small % of the humans know. shhh,0,Ameca,high,RiTfe-ckD_g
UgxBAmd-1xn01I-0lRx4AaABAg,2024-01-02T08:38:34Z,@DreamImagineListen,😍😇😀 damn its Great :),0,Ameca,high,RiTfe-ckD_g
UgwjAs5P55-JUQdrisN4AaABAg,2024-01-01T13:07:37Z,@WORKETHICINVENTIONCREATIONUNIV,MY BRAIN WORK24/7 UNIVERSE OKAY YEAH,0,Ameca,high,RiTfe-ckD_g
UgyEXhcYbK1tlhrWHxN4AaABAg,2024-01-01T08:41:06Z,@handsomechankemp3333,Oh Hell No,0,Ameca,high,RiTfe-ckD_g
UgzfeP3RULv-8aRLgix4AaABAg,2023-12-31T05:45:49Z,@arashyusefi1889,Thanks 🙏👍💯😊,0,Ameca,high,RiTfe-ckD_g
UgxcoCzGmeyEkIdH7YR4AaABAg,2023-12-21T09:33:56Z,@mrhaag,Making robots that seem to be visibly irritated with the humans around it doesn&#39;t come across like a good idea. This is how the human race ends.,1,Ameca,high,RiTfe-ckD_g
UgzGkcU4o5YPql3zZkp4AaABAg,2023-12-11T00:17:58Z,@lolosbizarreadventure,PUT IT AWAAYYYYY 😭,0,Ameca,high,RiTfe-ckD_g
UgwVxn2iDUVBNdGrH8Z4AaABAg,2023-12-10T16:01:20Z,@porshaburton3227,Her facial expressions are actually hilarious! Like um no! 😂😂😂😂,0,Ameca,high,RiTfe-ckD_g
UgzWwP_-uq11YEFqmiB4AaABAg,2023-12-08T16:02:07Z,@theksylltr,А потом роботы с искусственным интеллектом решать что люди несовершенны и должны исчезнуть с этой планеты.,0,Ameca,high,RiTfe-ckD_g
UgwgIWHfaGdPNsdvsjF4AaABAg,2023-12-08T00:46:31Z,@lean2326,"Искусственный интеллект не совсем искусственный. Где-то нейросвязи связаны с нейросвязями живых мозгов. Мы наверно все каким-то образом связаны друг с другом и с природой. Есть метеозависимые люди, болит голова при магнитных бурях, одинаковая реакция на катаклизмы, даже если они далеко...",0,Ameca,high,RiTfe-ckD_g
UgzvpAd2urAry_GIN1J4AaABAg,2023-12-07T18:12:42Z,@sergey8283,Дождались,0,Ameca,high,RiTfe-ckD_g
Ugw8a9JAvAEO8bHvVmp4AaABAg,2023-12-06T18:30:33Z,@Orange_Foxx,Me every time when someones tries to touch me:,2,Ameca,high,RiTfe-ckD_g
UgzKSFKVBTZLlYdVWbB4AaABAg,2023-12-05T06:57:29Z,@rafaelinaduran3753,RJEVJKDA❤😊,0,Ameca,high,RiTfe-ckD_g
UgyJJJSQNd_RZq2QAYt4AaABAg,2023-12-04T15:02:06Z,@djkingsley51,AI generated video.,0,Ameca,high,RiTfe-ckD_g
UgzWiHezfudbPVKkwht4AaABAg,2023-11-24T17:50:01Z,@prettygreen5038,NOPE,0,Ameca,high,RiTfe-ckD_g
UgxfNsE-USl_S20KCtt4AaABAg,2023-11-02T23:34:30Z,@TH71_777_MG,"Simplesmente pefeita , muito incrível",0,Ameca,high,RiTfe-ckD_g
UgwQBxW6vSwRuvnkC7Z4AaABAg,2023-10-31T21:12:52Z,@NomoreUS,Boop,0,Ameca,high,RiTfe-ckD_g
UgzJpSU0d0BAnX5oz9N4AaABAg,2023-10-24T20:46:45Z,@deestersvega807,Sure watch the smoker eyes up,0,Ameca,high,RiTfe-ckD_g
Ugw8puJZHV_UjqHQBHh4AaABAg,2023-10-10T20:07:53Z,@mikeyhamato2012,"Remember guys, robots will be nice, as long as we will treat them so.Just look at Detroit: Become human:",1,Ameca,high,RiTfe-ckD_g
Ugxug68fcqrNHm-jTSh4AaABAg,2023-09-25T03:28:56Z,@KhoaTran-mp7pp,Trai chếtbthai khing,0,Ameca,high,RiTfe-ckD_g
UgwTjLzoC39j7quJcUR4AaABAg,2023-08-18T14:23:01Z,@anamariabarbosa9350,Ameca is charming and so british.,0,Ameca,high,RiTfe-ckD_g
UgxCpbbqYSsTI33UgXp4AaABAg,2023-07-31T07:19:59Z,@ZahraHashimi-b8u,I saw balad on your neak 🎉🎉,0,Ameca,high,RiTfe-ckD_g
UgzJGucpjPhJVAZVzQZ4AaABAg,2023-07-31T07:19:05Z,@ZahraHashimi-b8u,😊😊,0,Ameca,high,RiTfe-ckD_g
Ugw5r3C0QCFhcBzRIlF4AaABAg,2023-07-27T11:17:54Z,@MrMaxkingone,thats like the beginning of iRobot,0,Ameca,high,RiTfe-ckD_g
Ugx9_xO6zm_SHBHZtz54AaABAg,2023-07-20T01:32:17Z,@rafaelinaduran3753,🐘,0,Ameca,high,RiTfe-ckD_g
UgyM5dPWfcllHtbNRoN4AaABAg,2023-07-16T22:50:08Z,,"A lot of technological, but it not move.",0,Ameca,high,RiTfe-ckD_g
UgxhM6VyRZfganPIiY94AaABAg,2023-07-13T16:01:16Z,@Iquey,I had a weird dream about being a robotic personal assistant and people turned me off and back on by booping my nose so this is a funny video that kind of confirms robots will not like that.,0,Ameca,high,RiTfe-ckD_g
UgzzQnMmByv6pQghHn14AaABAg,2023-07-06T21:59:09Z,@icouldntthinkofanameoof,Not she told u to get your dirty human fingers out of her face😂😂😂,1,Ameca,high,RiTfe-ckD_g
Ugz5RTcrjSAsfzXyDP14AaABAg,2023-06-24T01:10:26Z,@natalieg3872,Jesus! that hand grab and head roll at the end!! Wtf.. 😂 insane,0,Ameca,high,RiTfe-ckD_g
UgxtkBm-VNEvv-z_Bx94AaABAg,2023-06-21T08:11:32Z,@user-fx4kn6pq9v,0:15 amazing. Ameca respects her personal space😂,0,Ameca,high,RiTfe-ckD_g
UgxZPOT0SdDpjUgTQaZ4AaABAg,2023-06-21T01:25:55Z,@videowatcher4006,This is some spooky shit,1,Ameca,high,RiTfe-ckD_g
Ugyt-l2si1thPZ8TBqd4AaABAg,2023-06-18T03:47:01Z,@carmelbrain7399,Has more expression than most of my clients,1,Ameca,high,RiTfe-ckD_g
UgyQ5sVckbFg2iHPW4B4AaABAg,2023-06-07T05:44:40Z,@astronautsingh8793,Aw hell nah,0,Ameca,high,RiTfe-ckD_g
UgzTFRJrYkddzbxE_0x4AaABAg,2023-06-05T15:54:54Z,@bringtheseo,Okay this is fucked,0,Ameca,high,RiTfe-ckD_g
UgyLjSLge1GMh0BxA8N4AaABAg,2023-06-03T18:32:53Z,@frechesferkel2749,Creepy. Why built robots nearly human like when you don&#39;t plan to trick people that they are real humans.,0,Ameca,high,RiTfe-ckD_g
UgxdQT9GKd1et85VdmN4AaABAg,2023-06-03T12:49:52Z,@arifeyilmaz582,Amazing👍❤️,1,Ameca,high,RiTfe-ckD_g
UgyiP2kCr70nqiD7yYZ4AaABAg,2023-06-02T18:03:54Z,@Jordi_TV,Can it plays football versus Leo Messi ?😊,0,Ameca,high,RiTfe-ckD_g
